gender,study_stage,study_preparation,attendance,extracurricular_participation,family_income,previous_academic_performance,outcome,source_dataset
Male,Late,2-3 Hours,80%-100%,Yes,Lower middle,2.68,Higher,Rahman
Male,Early,2-3 Hours,80%-100%,Yes,High,2.68,Higher,Rahman
Female,Middle,2-3 Hours,80%-100%,No,Upper middle,2.68,Higher,Rahman
Male,Early,0-1 Hour,80%-100%,No,High,2.68,Higher,Rahman
Male,Early,2-3 Hours,80%-100%,No,Upper middle,2.68,Higher,Rahman
Male,Early,2-3 Hours,80%-100%,Yes,Upper middle,2.68,Higher,Rahman
Male,Early,2-3 Hours,80%-100%,No,Lower middle,2.68,Higher,Rahman
Female,Early,2-3 Hours,80%-100%,No,Upper middle,3.8,Higher,Rahman
Male,Early,2-3 Hours,80%-100%,No,Lower middle,2.68,Higher,Rahman
Female,Early,More than 3 Hours,80%-100%,No,Lower middle,2.68,Higher,Rahman
Male,Early,2-3 Hours,80%-100%,Yes,Upper middle,2.68,Higher,Rahman
Male,Early,2-3 Hours,80%-100%,No,Lower middle,3.4,Higher,Rahman
Female,Early,0-1 Hour,80%-100%,No,Upper middle,2.68,Higher,Rahman
Female,Early,2-3 Hours,80%-100%,No,Lower middle,2.68,Higher,Rahman
Female,Early,2-3 Hours,80%-100%,No,High,2.68,Higher,Rahman
Male,Early,2-3 Hours,80%-100%,Yes,Upper middle,3.93,Higher,Rahman
Male,Early,More than 3 Hours,80%-100%,Yes,Upper middle,2.68,Higher,Rahman
Female,Early,More than 3 Hours,80%-100%,No,Upper middle,2.68,Higher,Rahman
Male,Early,0-1 Hour,60%-79%,No,High,3.1,Higher,Rahman
Male,Early,2-3 Hours,60%-79%,No,Lower middle,2.68,Higher,Rahman
Female,Early,2-3 Hours,80%-100%,Yes,Upper middle,3.81,Higher,Rahman
Male,Early,2-3 Hours,80%-100%,No,Upper middle,2.68,Higher,Rahman
Male,Early,2-3 Hours,80%-100%,Yes,Lower middle,2.68,Higher,Rahman
Female,Early,More than 3 Hours,80%-100%,Yes,Lower middle,2.68,Higher,Rahman
Male,Early,0-1 Hour,80%-100%,Yes,Upper middle,3.89,Higher,Rahman
Female,Early,2-3 Hours,80%-100%,No,Upper middle,3.79,Higher,Rahman
Male,Early,More than 3 Hours,80%-100%,Yes,Low,2.68,Higher,Rahman
Male,Early,2-3 Hours,60%-79%,Yes,Upper middle,3.55,Higher,Rahman
Male,Early,2-3 Hours,80%-100%,Yes,Low,3.28,Higher,Rahman
Male,Early,2-3 Hours,80%-100%,Yes,Upper middle,2.68,Higher,Rahman
Male,Early,2-3 Hours,80%-100%,No,Upper middle,2.68,Higher,Rahman
Male,Early,More than 3 Hours,80%-100%,Yes,High,2.68,Higher,Rahman
Male,Early,More than 3 Hours,80%-100%,No,Upper middle,2.68,Higher,Rahman
Male,Early,More than 3 Hours,80%-100%,Yes,Upper middle,2.68,Higher,Rahman
Male,Early,0-1 Hour,80%-100%,Yes,Upper middle,2.68,Higher,Rahman
Female,Early,2-3 Hours,80%-100%,Yes,Upper middle,2.68,Higher,Rahman
Female,Early,2-3 Hours,80%-100%,No,Upper middle,2.68,Higher,Rahman
Male,Late,2-3 Hours,60%-79%,No,Lower middle,2.68,Higher,Rahman
Female,Early,More than 3 Hours,80%-100%,No,High,2.68,Higher,Rahman
Female,Early,More than 3 Hours,80%-100%,Yes,Upper middle,2.68,Higher,Rahman
Male,Early,More than 3 Hours,80%-100%,No,Lower middle,2.68,Higher,Rahman
Male,Early,2-3 Hours,80%-100%,Yes,Low,2.68,Higher,Rahman
Male,Early,2-3 Hours,80%-100%,No,Low,2.68,Higher,Rahman
Male,Early,More than 3 Hours,80%-100%,Yes,Upper middle,2.68,Higher,Rahman
Male,Early,More than 3 Hours,80%-100%,Yes,Upper middle,2.68,Higher,Rahman
Male,Early,More than 3 Hours,80%-100%,No,Lower middle,2.68,Higher,Rahman
Male,Early,More than 3 Hours,80%-100%,Yes,Lower middle,2.68,Higher,Rahman
Male,Early,0-1 Hour,80%-100%,Yes,Lower middle,2.68,Higher,Rahman
Female,Early,2-3 Hours,80%-100%,No,High,3.78,Higher,Rahman
Male,Early,More than 3 Hours,80%-100%,No,Upper middle,2.68,Higher,Rahman
Male,Early,2-3 Hours,80%-100%,No,Upper middle,2.68,Higher,Rahman
Male,Early,2-3 Hours,80%-100%,Yes,Lower middle,4.0,Higher,Rahman
Male,Early,More than 3 Hours,80%-100%,Yes,Upper middle,2.68,Higher,Rahman
Male,Early,2-3 Hours,80%-100%,No,High,3.9,Higher,Rahman
Male,Early,2-3 Hours,80%-100%,No,Upper middle,2.68,Higher,Rahman
Male,Early,0-1 Hour,80%-100%,Yes,Upper middle,2.68,Higher,Rahman
Male,Early,0-1 Hour,80%-100%,No,Upper middle,2.68,Higher,Rahman
Female,Early,0-1 Hour,80%-100%,Yes,Upper middle,2.68,Higher,Rahman
Male,Early,More than 3 Hours,80%-100%,No,Upper middle,2.68,Higher,Rahman
Female,Early,2-3 Hours,80%-100%,Yes,Upper middle,2.68,Higher,Rahman
Male,Early,0-1 Hour,60%-79%,No,Upper middle,2.68,Higher,Rahman
Male,Early,2-3 Hours,80%-100%,No,Upper middle,2.68,Higher,Rahman
Male,Late,0-1 Hour,80%-100%,Yes,Lower middle,2.68,Higher,Rahman
Male,Middle,2-3 Hours,80%-100%,No,Lower middle,3.84,Higher,Rahman
Male,Middle,2-3 Hours,80%-100%,Yes,High,2.68,Higher,Rahman
Male,Late,2-3 Hours,60%-79%,Yes,High,3.31,Higher,Rahman
Male,Middle,2-3 Hours,80%-100%,No,Upper middle,2.68,Higher,Rahman
Female,Early,2-3 Hours,80%-100%,No,Upper middle,2.68,Higher,Rahman
Male,Early,2-3 Hours,80%-100%,No,Upper middle,2.68,Higher,Rahman
Female,Middle,2-3 Hours,80%-100%,No,Upper middle,2.68,Higher,Rahman
Male,Early,More than 3 Hours,80%-100%,Yes,Upper middle,2.68,Higher,Rahman
Male,Middle,2-3 Hours,80%-100%,No,Upper middle,2.68,Higher,Rahman
Male,Early,More than 3 Hours,80%-100%,Yes,Upper middle,2.68,Higher,Rahman
Female,Middle,0-1 Hour,80%-100%,No,Upper middle,2.68,Higher,Rahman
