dataset,evaluation,model,published_without_lasso,reproduced_without_lasso,difference_without_lasso_pp,published_with_lasso,reproduced_with_lasso,difference_with_lasso_pp
Mathematics,Holdout,Linear Regression,87.8,87.8,0.0,89.46,89.46,0.0
Mathematics,Holdout,Logistic Regression,89.94,89.95,0.01,91.54,91.56,0.02
Mathematics,Holdout,SVM,87.3,87.3,0.0,89.85,89.85,0.0
Mathematics,Holdout,Decision Tree,89.62,89.62,0.0,89.65,89.65,0.0
Mathematics,Holdout,Random Forest,93.58,93.58,0.0,92.87,92.86,-0.01
Mathematics,Holdout,KNN,73.05,73.05,0.0,82.41,82.42,0.01
Mathematics,Holdout,XGBoost,93.49,93.49,0.0,92.1,92.1,0.0
Mathematics,5-fold CV,Linear Regression,87.75,87.75,0.0,89.27,89.28,0.01
Mathematics,5-fold CV,Logistic Regression,89.94,89.94,0.0,91.39,91.36,-0.03
Mathematics,5-fold CV,SVM,87.59,87.59,0.0,89.98,89.96,-0.02
Mathematics,5-fold CV,Decision Tree,89.94,89.94,0.0,89.49,89.55,0.06
Mathematics,5-fold CV,Random Forest,93.82,93.83,0.01,92.94,92.96,0.02
Mathematics,5-fold CV,KNN,73.44,73.44,0.0,83.48,83.36,-0.12
Mathematics,5-fold CV,XGBoost,93.53,93.52,-0.01,91.94,91.93,-0.01
xAPI,Holdout,Linear Regression,90.47,90.93,0.46,91.07,91.49,0.42
xAPI,Holdout,Logistic Regression,91.15,91.04,-0.11,91.34,91.7,0.36
xAPI,Holdout,SVM,91.53,91.25,-0.28,91.0,91.03,0.03
xAPI,Holdout,Decision Tree,88.69,88.01,-0.68,88.07,88.3,0.23
xAPI,Holdout,Random Forest,92.69,92.36,-0.33,91.46,91.45,-0.01
xAPI,Holdout,KNN,86.1,88.41,2.31,90.23,90.71,0.48
xAPI,Holdout,XGBoost,91.37,91.66,0.29,90.54,90.72,0.18
xAPI,5-fold CV,Linear Regression,90.73,91.11,0.38,91.28,91.47,0.19
xAPI,5-fold CV,Logistic Regression,91.26,91.2,-0.06,91.51,91.66,0.15
xAPI,5-fold CV,SVM,91.49,91.36,-0.13,91.12,91.35,0.23
xAPI,5-fold CV,Decision Tree,88.36,87.95,-0.41,87.96,88.07,0.11
xAPI,5-fold CV,Random Forest,92.7,92.44,-0.26,91.22,91.27,0.05
xAPI,5-fold CV,KNN,85.77,88.37,2.6,91.01,91.2,0.19
xAPI,5-fold CV,XGBoost,91.51,91.8,0.29,90.03,90.21,0.18
